1749746065.982742 server started (27205): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1749746065.982808 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1749746065.982819 using libevent 2.1.12-stable poll
1749746065.982825 using ncurses 6.5 20250125
1749746065.982904 input_key_build: 0x10e003 (PasteStart) is \033[200~
1749746065.982910 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1749746065.982913 input_key_build: 0x10e195 (F1) is \033OP
1749746065.982916 input_key_build: 0x10e196 (F2) is \033OQ
1749746065.982919 input_key_build: 0x10e197 (F3) is \033OR
1749746065.982921 input_key_build: 0x10e198 (F4) is \033OS
1749746065.982923 input_key_build: 0x10e199 (F5) is \033[15~
1749746065.982925 input_key_build: 0x10e19a (F6) is \033[17~
1749746065.982928 input_key_build: 0x10e19b (F7) is \033[18~
1749746065.982930 input_key_build: 0x10e19c (F8) is \033[19~
1749746065.982932 input_key_build: 0x10e19d (F9) is \033[20~
1749746065.982934 input_key_build: 0x10e19e (F10) is \033[21~
1749746065.982936 input_key_build: 0x10e19f (F11) is \033[23~
1749746065.982938 input_key_build: 0x10e1a0 (F12) is \033[24~
1749746065.982941 input_key_build: 0x10e1a1 (IC) is \033[2~
1749746065.982943 input_key_build: 0x10e1a2 (DC) is \033[3~
1749746065.982945 input_key_build: 0x10e1a3 (Home) is \033[1~
1749746065.982947 input_key_build: 0x10e1a4 (End) is \033[4~
1749746065.982949 input_key_build: 0x10e1a5 (NPage) is \033[6~
1749746065.982952 input_key_build: 0x10e1a6 (PPage) is \033[5~
1749746065.982954 input_key_build: 0x10e1a7 (BTab) is \033[Z
1749746065.982956 input_key_build: 0x10e1a8 (Up) is \033[A
1749746065.982959 input_key_build: 0x10e1a9 (Down) is \033[B
1749746065.982961 input_key_build: 0x10e1aa (Left) is \033[D
1749746065.982963 input_key_build: 0x10e1ab (Right) is \033[C
1749746065.982965 input_key_build: 0x10e1ac (KP/) is /
1749746065.982968 input_key_build: 0x10e1ad (KP*) is *
1749746065.982970 input_key_build: 0x10e1ae (KP-) is -
1749746065.982972 input_key_build: 0x10e1af (KP7) is 7
1749746065.982974 input_key_build: 0x10e1b0 (KP8) is 8
1749746065.982976 input_key_build: 0x10e1b1 (KP9) is 9
1749746065.982979 input_key_build: 0x10e1b2 (KP+) is +
1749746065.982981 input_key_build: 0x10e1b3 (KP4) is 4
1749746065.982983 input_key_build: 0x10e1b4 (KP5) is 5
1749746065.982985 input_key_build: 0x10e1b5 (KP6) is 6
1749746065.982987 input_key_build: 0x10e1b6 (KP1) is 1
1749746065.982989 input_key_build: 0x10e1b7 (KP2) is 2
1749746065.982991 input_key_build: 0x10e1b8 (KP3) is 3
1749746065.982994 input_key_build: 0x10e1b9 (KPEnter) is \n
1749746065.982996 input_key_build: 0x10e1ba (KP0) is 0
1749746065.982998 input_key_build: 0x10e1bb (KP.) is .
1749746065.983001 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1749746065.983003 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1749746065.983005 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1749746065.983007 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1749746065.983010 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1749746065.983012 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
